Timestamp,Reference Element,Element,Ratio,Ratio Sigma,Ratio SNR,Error Percentage,v0_lat,v1_lat,v2_lat,v3_lat,v0_lon,v1_lon,v2_lon,v3_lon
20230201T224431932,Mg,Ca,0.4060475161987041,0.014452743115930262,28.094840746954528,3.5593723737636767,-77.1113,-79.6207,-79.5767,-77.075,2.4798,2.5636,7.4844,6.4444
20230201T224503932,Mg,Ca,0.2761341222879684,0.011445428973380896,24.126148782206844,4.144880349645796,-75.4893,-77.9975,-77.9585,-75.4578,2.4408,2.5102,6.7618,5.96
20230201T224535932,Mg,Ca,0.32310838445807777,0.014613796703832574,22.109817934810895,4.52287758745198,-73.8672,-76.3725,-76.339,-73.8389,2.4057,2.4625,6.2047,5.5695
20230201T224607932,Mg,Ca,0.35185185185185186,0.015084043300883154,23.326096646199055,4.2870438855141595,-72.2444,-74.7475,-74.7176,-72.2187,2.3749,2.4242,5.7657,5.2489
20230201T224639932,Mg,Ca,0.27044025157232704,0.0072970726630973955,37.06147164190811,2.6982198917034554,-70.621,-73.1218,-73.0948,-70.5975,2.3472,2.391,5.4096,4.9804
20230201T224711932,Mg,Ca,0.3227272727272727,0.007700380948676951,41.910559344823376,2.386033533392858,-68.9962,-71.4956,-71.4709,-68.9745,2.3221,2.3614,5.1144,4.7524
20230201T224743932,Mg,Ca,0.25800548947849955,0.005376174927986568,47.99053098800958,2.083744395847276,-67.3722,-69.868,-69.8453,-67.352,2.2982,2.3349,4.8658,4.5555
20230201T224815932,Mg,Ca,0.3097251585623679,0.007092151126504279,43.67153957067909,2.2898208073969446,-65.7469,-68.2413,-68.2203,-65.7281,2.2761,2.3099,4.6528,4.3841
20230201T224847932,Mg,Ca,0.43265306122448977,0.013935347710064121,31.047166545548578,3.220905838646896,-64.1211,-66.6133,-66.5938,-64.1034,2.2553,2.2868,4.4684,4.2334
20230201T224919932,Mg,Ca,0.3029223093371347,0.006191158619319323,48.928210043250196,2.0438107159776493,-62.4946,-64.9849,-64.9666,-62.4779,2.2353,2.2652,4.3071,4.0994
20230201T225023932,Mg,Ca,0.30229325920778316,0.007048140135365919,42.889791264357285,2.331557162021048,-59.24,-61.7264,-61.7102,-59.225,2.1975,2.2249,4.0373,3.8714
20230201T225055932,Mg,Ca,0.23252391464311994,0.005670971352394272,41.00248444121461,2.43887660376703,-57.6119,-60.0964,-60.081,-57.5976,2.1794,2.2058,3.9232,3.7734
20230201T225159932,Mg,Ca,0.18136908962597034,0.006326110610476687,28.669920713305988,3.4879761614962903,-54.3539,-56.835,-56.8211,-54.3408,2.1448,2.1697,3.7266,3.6024
20230201T225231932,Mg,Ca,0.16666666666666666,0.006920571463329939,24.082789629409078,4.152342877997964,-52.7242,-55.2036,-55.1903,-52.7117,2.128,2.1521,3.6408,3.5271
20230201T225303932,Mg,Ca,0.14162473040977713,0.004076659624941719,34.74038635536118,2.8784941818750918,-51.094,-53.5718,-53.5591,-51.082,2.1112,2.135,3.5622,3.4573
20230201T225335932,Mg,Ca,0.1499364675984752,0.004670658245601448,32.10178516907688,3.115091558718932,-49.4632,-51.9396,-51.9274,-49.4516,2.0948,2.1181,3.4895,3.3927
20230201T225439932,Mg,Ca,0.11719214753123142,0.003827939514455308,30.61494234396416,3.2663788445682096,-46.2004,-48.6739,-48.6625,-46.1896,2.0624,2.0851,3.3598,3.276
20230201T225511932,Mg,Ca,0.14543028685790527,0.005032747131848425,28.896799908262366,3.460590803046234,-44.5684,-47.0405,-47.0295,-44.5579,2.0466,2.0688,3.3014,3.2232
20230203T024048409,Mg,Ca,0.16045380875202594,0.008059711468252503,19.90813311171986,5.023072702941207,-57.182,-59.4702,-58.8797,-56.6107,-13.2071,-12.0801,-10.8182,-11.998
20230203T024152409,Mg,Ca,0.18257956448911225,0.010350357040185842,17.639929113579065,5.668957021092612,-53.9173,-56.2151,-55.6427,-53.3634,-13.2076,-12.205,-11.0343,-12.0801
20230203T024224409,Mg,Ca,0.21273712737127373,0.013721525232998771,15.503897982103632,6.449990842008339,-52.2838,-54.5864,-54.0236,-51.7391,-13.2095,-12.2608,-11.1282,-12.1162
20230203T024256409,Mg,Ca,0.12464183381088824,0.008524919674332297,14.620880732304453,6.839533255958556,-50.6493,-52.9574,-52.4044,-50.1142,-13.2125,-12.3138,-11.2153,-12.1499
20230203T024328409,Mg,Ca,0.18465539661898567,0.007387274373207491,24.99641779770661,4.000573234504621,-49.014,-51.3276,-50.7847,-48.489,-13.2163,-12.3639,-11.2961,-12.1811
20230203T024400409,Mg,Ca,0.17312348668280872,0.006813835802759796,25.407639939413983,3.935824037118595,-47.3777,-49.6973,-49.165,-46.8633,-13.2201,-12.4117,-11.3712,-12.2094
20230203T024432409,Mg,Ca,0.2511682242990654,0.010335582238854578,24.301313510413387,4.115003905330009,-45.7408,-48.0662,-47.545,-45.2373,-13.2249,-12.4569,-11.4408,-12.2363
20230203T024504409,Mg,Ca,0.26977248104008666,0.007393122710091216,36.4896528326064,2.7405029162305996,-44.103,-46.4347,-45.9248,-43.6109,-13.2303,-12.5004,-11.5064,-12.2614
20230203T024536409,Mg,Ca,0.3333333333333333,0.007795539783909188,42.75949357879852,2.3386619351727567,-42.4645,-44.8025,-44.3045,-41.9843,-13.2362,-12.5425,-11.5681,-12.2848
20230203T024608409,Mg,Ca,0.3505039193729003,0.009470037660851105,37.01188230981114,2.7018350259233346,-40.8249,-43.1698,-42.6841,-40.3572,-13.2418,-12.5831,-11.6263,-12.3061
20230203T024640409,Mg,Ca,0.18713017751479288,0.0050181981000602385,37.290312933749384,2.681661593391875,-39.1848,-41.5362,-41.0634,-38.73,-13.2483,-12.622,-11.6809,-12.3267
20230203T024712409,Mg,Ca,0.23669064748201438,0.005867383866808432,40.3400651559487,2.478925098742772,-37.5438,-39.9022,-39.4428,-37.1027,-13.255,-12.6602,-11.7332,-12.3458
20230203T024744409,Mg,Ca,0.1755285073670724,0.003793428929583141,46.27172687966008,2.161146919372001,-35.9022,-38.2676,-37.8221,-35.4752,-13.2621,-12.6974,-11.7829,-12.364
20230203T024816409,Mg,Ca,0.19773635153129163,0.005133979590724911,38.515219633619836,2.596376210528221,-34.2597,-36.6324,-36.2013,-33.8474,-13.2688,-12.734,-11.8307,-12.3804
20230203T024848409,Mg,Ca,0.17755102040816326,0.005495116744773958,32.31069122908449,3.0949508102749883,-32.6166,-34.9965,-34.5805,-32.2198,-13.2759,-12.7694,-11.8758,-12.3961
20230203T024920409,Mg,Ca,0.1805471124620061,0.005165500457548027,34.95249181484124,2.861026347699159,-30.9728,-33.3601,-32.9598,-30.5919,-13.2834,-12.8044,-11.9195,-12.4111
20230203T024952409,Mg,Ca,0.1249299719887955,0.004451285903103281,28.066040849386624,3.563024814815855,-29.3284,-31.7229,-31.3389,-28.9641,-13.2907,-12.839,-11.9618,-12.4249
20230203T025024409,Mg,Ca,0.14853672004417448,0.004782361134789599,31.05928554069963,3.219649076246827,-27.6833,-30.0851,-29.7181,-27.3364,-13.2981,-12.8729,-12.0024,-12.4381
20230203T163858884,Mg,Ca,0.14524207011686144,0.010445688943164562,13.90449887098206,7.191916870063876,-46.6385,-48.9825,-48.4421,-46.1166,-20.6809,-19.8695,-18.7983,-19.6408
20230203T163930884,Mg,Ca,0.13846153846153844,0.009039120913038613,15.31803145390085,6.528253992750111,-45.0075,-47.357,-46.8283,-44.4973,-20.6893,-19.9178,-18.8711,-19.6713
20230203T164002884,Mg,Ca,0.10403120936280884,0.0063132972091847865,16.47811055235304,6.068656942328876,-43.3754,-45.7315,-45.2149,-42.8773,-20.6978,-19.9652,-18.9405,-19.6994
20230203T164106884,Mg,Ca,0.09109947643979056,0.005171730935151926,17.61489094890711,5.677014992034586,-40.1087,-42.4778,-41.9869,-39.6365,-20.715,-20.0538,-19.0667,-19.7502
20230203T164210884,Mg,Ca,0.15503875968992248,0.006848659339401789,22.637826179782607,4.417385273914154,-36.8388,-39.2217,-38.7586,-36.3947,-20.7333,-20.1377,-19.1808,-19.7955
20230203T164242884,Mg,Ca,0.10425020048115477,0.005083080607735591,20.50925580886983,4.875847321420217,-35.2026,-37.5924,-37.144,-34.7735,-20.7425,-20.1777,-19.2337,-19.8161
20230206T120713919,Mg,Ca,0.3305613305613306,0.014298741140833474,23.118212107311578,4.325594018076038,-65.2863,-67.6042,-67.032,-64.736,-59.281,-57.9582,-56.2031,-57.6455
20230206T120745919,Mg,Ca,0.27202323330106487,0.007890728913898675,34.47377755202375,2.900755504646737,-63.659,-65.9788,-65.4136,-63.1147,-59.1855,-57.9511,-56.3009,-57.6399
20230206T120817919,Mg,Ca,0.3234732824427481,0.006658828904344758,48.57810391128806,2.058540617036374,-62.0307,-64.353,-63.7948,-61.4927,-59.1011,-57.947,-56.3877,-57.6339
20230206T120849919,Mg,Ca,0.3080568720379147,0.0051697983982258635,59.5877920778558,1.678196095424088,-60.4017,-62.7265,-62.1756,-59.8703,-59.0269,-57.9439,-56.464,-57.6287
20230206T120921919,Mg,Ca,0.37714285714285717,0.005965898023148136,63.21644380770746,1.581866900077157,-58.7716,-61.0995,-60.5562,-58.2474,-58.9609,-57.9426,-56.5323,-57.6235
20230206T120953919,Mg,Ca,0.33999999999999997,0.00611834548544702,55.570578812314125,1.799513378072653,-57.1407,-59.4718,-58.9364,-56.624,-58.9022,-57.9424,-56.5936,-57.6187
20230206T121025919,Mg,Ca,0.3112761647535449,0.004944020629096038,62.960126606603275,1.588306844184649,-55.5092,-57.8435,-57.3164,-55.0003,-58.8499,-57.9435,-56.649,-57.6144
20230206T121057919,Mg,Ca,0.27606290040768783,0.003837922897335545,71.9302882815449,1.3902349398154283,-53.8767,-56.2149,-55.6963,-53.376,-58.8023,-57.9457,-56.6997,-57.6096
20230206T121129919,Mg,Ca,0.29351901446170325,0.004587478838342333,63.98264162189905,1.5629239035009372,-52.2434,-54.5856,-54.0759,-51.7513,-58.7596,-57.9484,-56.7455,-57.6051
20230206T121201919,Mg,Ca,0.34658811978399606,0.00412946208810849,83.93057313252913,1.1914609452516989,-50.6094,-52.9556,-52.4552,-50.1263,-58.7214,-57.952,-56.7878,-57.6013
20230206T121233919,Mg,Ca,0.25559347743648086,0.0030262197118845285,84.4596565255053,1.1839972374242584,-48.9746,-51.3253,-50.8344,-48.501,-58.6861,-57.9568,-56.8274,-57.5969
20230206T121305919,Mg,Ca,0.2722298221614227,0.0035639770695456894,76.38371876397191,1.3091795165014568,-47.339,-49.6944,-49.2135,-46.8752,-58.6539,-57.9618,-56.8635,-57.5924
20230206T121337919,Mg,Ca,0.2326858108108108,0.0032152918612882568,72.36848810284414,1.3818169015482018,-45.7027,-48.0629,-47.5923,-45.2493,-58.6246,-57.9673,-56.8971,-57.5881
20230206T121409919,Mg,Ca,0.2354014598540146,0.003369596037812888,69.86043941540458,1.4314252935825293,-44.0657,-46.431,-45.9712,-43.623,-58.5978,-57.9735,-56.9285,-57.5838
20230206T121441919,Mg,Ca,0.2355833705856057,0.004892076737247945,48.15610695390153,2.076579821864071,-42.4282,-44.7984,-44.3498,-41.9967,-58.5733,-57.9803,-56.9581,-57.5795
20230206T121513919,Mg,Ca,0.1627509611277232,0.0030341092927780445,53.64044120464351,1.8642650536465621,-40.7896,-43.1655,-42.7286,-40.3699,-58.5504,-57.9876,-56.9859,-57.5749
20230206T121545919,Mg,Ca,0.16986706056129988,0.0031949067734918742,53.16808051198428,1.8808277266556508,-39.1506,-41.5319,-41.107,-38.7432,-58.5294,-57.9952,-57.012,-57.5702
20230206T121617919,Mg,Ca,0.16719101123595506,0.002888477322201467,57.88205777171539,1.7276510865317913,-37.5109,-39.8979,-39.4856,-37.1161,-58.5098,-58.0033,-57.0368,-57.5655
20230206T121649919,Mg,Ca,0.16904879250862495,0.0038420921631792744,43.99915080869366,2.272771136761151,-35.8706,-38.2632,-37.864,-35.489,-58.4916,-58.0118,-57.0603,-57.5606
20230206T121721919,Mg,Ca,0.14766714766714767,0.0029322106398729664,50.36034780691783,1.9856892248520837,-34.2297,-36.6281,-36.2425,-33.8619,-58.4745,-58.0207,-57.0826,-57.5554
20230206T121753919,Mg,Ca,0.18986216096042685,0.0030057693157755014,63.16591228872852,1.5831323632737946,-32.5882,-34.9925,-34.621,-32.2346,-58.4589,-58.0298,-57.1039,-57.5504
20230206T121825919,Mg,Ca,0.16880146386093323,0.0029829649097615285,56.58848460085572,1.7671439817720056,-30.9461,-33.3563,-32.9994,-30.6074,-58.4441,-58.0396,-57.1246,-57.5451
20230207T060616657,Mg,Ca,0.2922134733158355,0.009662259481858932,30.242768150086594,3.3065756250792693,-19.7228,-22.1592,-21.924,-19.5062,-68.2311,-67.9975,-67.1397,-67.381
20230207T060648657,Mg,Ca,0.26975832789026777,0.008383850572897476,32.175946546842944,3.1079116772653843,-18.0823,-20.5237,-20.3062,-17.8837,-68.2151,-68.002,-67.1482,-67.3682
20230207T060720657,Mg,Ca,0.12761151891586672,0.004147681714433701,30.76695072135978,3.2502408479035774,-16.4417,-18.8879,-18.6886,-16.2617,-68.199,-68.0071,-67.1568,-67.3549
20230207T094954616,Mg,Ca,0.15304347826086956,0.010401305380271226,14.713872217534947,6.796307492790858,-57.4548,-59.7627,-59.2693,-56.9759,-71.208,-70.3394,-69.0263,-69.9575
20230207T095026616,Mg,Ca,0.1582952815829528,0.008516614205656957,18.58664461727161,5.380207243381366,-55.8207,-58.1328,-57.6455,-55.3478,-71.1362,-70.3132,-69.0517,-69.931
20230207T095338616,Mg,Ca,0.13389626055488543,0.006473714687482337,20.683064827337706,4.8348734017323025,-46.0092,-48.3508,-47.9085,-45.5811,-70.8226,-70.2145,-69.1645,-69.8044
