Timestamp,Reference Element,Element,Ratio,Ratio Sigma,Ratio SNR,Error Percentage,v0_lat,v1_lat,v2_lat,v3_lat,v0_lon,v1_lon,v2_lon,v3_lon
20230201T010548755,Mg,Na,0.5056338028169014,0.013713173509722888,36.8721217199212,2.7120760980231897,-37.3367,-39.7977,-39.7847,-37.3242,14.0152,14.0479,15.1225,15.0521
20230201T011004755,Mg,Na,0.35798816568047337,0.011084921938445742,32.29505518111643,3.096449268755918,-24.2453,-26.7023,-26.6912,-24.2344,13.8423,13.8726,14.7907,14.7414
20230201T110538931,Mg,Na,0.445,0.012722422490539204,34.97761533473017,2.8589713461885853,-26.2497,-28.7118,-28.7015,-26.2396,8.3883,8.4151,9.3575,9.3091
20230201T111130931,Mg,Na,0.375968992248062,0.00985225547603096,38.16070271043391,2.62049681733607,-8.2532,-10.7154,-10.7062,-8.244,8.1747,8.203,9.0439,9.0099
20230201T111234931,Mg,Na,0.47129506008010674,0.011064098349858768,42.596788746560875,2.347594805678249,-4.9812,-7.4445,-7.4354,-4.9721,8.1333,8.1624,8.9968,8.9643
20230201T130731925,Mg,Na,0.5409090909090909,0.013332024889268738,40.57216329865101,2.464744097175733,-18.1746,-20.6356,-20.6262,-18.1653,7.205,7.2313,8.1129,8.0731
20230201T131427925,Mg,Na,0.390625,0.008370425647346226,46.667280310152975,2.142828965720634,3.1,0.6041,0.6312,3.0917,6.3847,6.417,7.2721,7.2423
20230201T225023932,Mg,Na,0.5399583043780403,0.006335019926364274,85.2338762394276,1.1732424290911443,-59.24,-61.7264,-61.7102,-59.225,2.1975,2.2249,4.0373,3.8714
20230201T225855932,Mg,Na,0.3106145251396648,0.004429997540534261,70.11618455711478,1.426204244164807,-33.1339,-35.5984,-35.5893,-33.125,1.9356,1.9574,2.9783,2.9256
20230201T230207932,Mg,Na,0.3885383806519453,0.004460874309040202,87.09915450084557,1.1481167707435,-23.3218,-25.7829,-25.7748,-23.3139,1.8393,1.8613,2.7777,2.7373
20230201T230935932,Mg,Na,0.3266509433962264,0.004369502026837722,74.7570183947549,1.3376670464831728,-0.4144,-2.8775,-2.8702,-0.407,1.5906,1.6172,2.4455,2.4187
20230203T023912409,Mg,Na,0.4048582995951417,0.014663083651264551,27.6107201748267,3.6217816618623444,-62.0724,-64.3481,-63.7322,-61.4776,-13.2169,-11.85,-10.4018,-11.8424
20230203T024952409,Mg,Na,0.44817927170868344,0.005749547430752318,77.95035645962832,1.2828677704866112,-29.3284,-31.7229,-31.3389,-28.9641,-13.2907,-12.839,-11.9618,-12.4249
20230203T025648409,Mg,Na,0.33707201889020066,0.0041443346315674385,81.33320517187964,1.2295101341287638,-7.9121,-10.3826,-10.2669,-7.8209,-13.3833,-13.2606,-12.4254,-12.5509
20230203T105443131,Mg,Na,0.45298013245033114,0.0101805394578471,44.494708195563916,2.2474582721270644,-5.1602,-7.6421,-7.5666,-5.1095,-17.6963,-17.614,-16.7709,-16.8557
20230203T125323662,Mg,Na,0.4398541919805589,0.009299409824952028,47.299151264454345,2.114202841418652,-6.9386,-9.4206,-9.3187,-6.8614,-18.7335,-18.6243,-17.7767,-17.889
20230203T163826884,Mg,Na,0.45373665480427045,0.013484764822906977,33.64809551839527,2.9719364041073417,-48.2692,-50.6068,-50.0551,-47.7363,-20.6738,-19.8177,-18.7193,-19.6093
20230203T163858884,Mg,Na,0.44908180300500833,0.012782391651892959,35.132846437114395,2.846339256313711,-46.6385,-48.9825,-48.4421,-46.1166,-20.6809,-19.8695,-18.7983,-19.6408
20230203T165634884,Mg,Na,0.3674418604651163,0.0066279940600977435,55.43786809906972,1.8038211682544492,7.4919,5.0134,4.9003,7.3552,-20.9714,-21.0755,-20.2357,-20.1313
20230203T184539042,Mg,Na,0.4010989010989011,0.012432018070934666,32.263378223093724,3.099489436863163,-23.8624,-26.3035,-25.973,-23.5535,-21.8938,-21.5215,-20.6312,-21.0135
20230204T024255301,Mg,Na,0.4158536585365854,0.00893078029447854,46.56409012700572,2.147577666120939,-22.9274,-25.3806,-25.0611,-22.6297,-26.2695,-25.9123,-25.0131,-25.3804
20230204T123555493,Mg,Na,0.3858407079646018,0.012040020887881298,32.04651483229269,3.120464129198593,-32.7178,-35.1368,-34.7132,-32.314,-31.736,-31.2197,-30.2648,-30.798
20230207T020325673,Mg,Na,0.42187500000000006,0.011089007591592443,38.04443242692527,2.628505503192282,-41.0358,-43.393,-42.9749,-40.6326,-66.3107,-65.7775,-64.7953,-65.3526
20230207T023109673,Mg,Na,0.37439222042139386,0.011512237716133161,32.521237803900064,3.0749137103264763,44.0697,41.7312,41.2887,43.6126,-65.5533,-66.161,-65.2157,-64.5842
20230207T035914686,Mg,Na,0.4292452830188679,0.012582275597955855,34.11507558208342,2.9312554140292764,-47.603,-49.9372,-49.483,-47.1631,-67.5521,-66.9057,-65.8338,-66.5143
20230207T060544657,Mg,Na,0.49503546099290785,0.010989441783012917,45.046461027539706,2.2199302169123514,-21.3632,-23.7943,-23.5419,-21.1291,-68.2479,-67.9932,-67.131,-67.3942
20230207T095858616,Mg,Na,0.5331439393939393,0.008944868613122797,59.60332817094451,1.6777586599391965,-29.6304,-32.0321,-31.7032,-29.3179,-70.5301,-70.1707,-69.2752,-69.648
20230207T100418616,Mg,Na,0.36283833211411853,0.005513497258316059,65.80910719903707,1.519546522604446,-13.2283,-15.6826,-15.5211,-13.0864,-70.3477,-70.1979,-69.3536,-69.5083
20230208T033454917,Mg,Na,0.5406203840472674,0.013073946830966438,41.3509700656557,2.418322952066742,-47.1993,-49.5478,-49.1071,-46.7737,-80.6925,-80.0812,-78.9936,-79.6414
20230208T034118917,Mg,Na,0.5841346153846154,0.010994557251912264,53.129435046874484,1.8821958093808648,-27.5513,-29.963,-29.6627,-27.2682,-80.2896,-79.9738,-79.0857,-79.4152
20230209T045829154,Mg,Na,0.5447368421052632,0.01878259382397339,29.002215945807322,3.448012392806709,-77.5553,-79.872,-79.3547,-77.0662,-98.3361,-96.4451,-92.7326,-95.2009
20230209T045933154,Mg,Na,0.41647058823529415,0.014788011076664394,28.162718169212642,3.550793620103032,-74.3089,-76.6217,-76.1076,-73.8183,-97.3051,-95.7114,-92.8769,-94.8133
20230209T050805154,Mg,Na,0.8412197686645636,0.011984533118516077,70.19211848685877,1.4246613744635988,-48.2022,-50.5462,-50.121,-47.7914,-94.8567,-94.2646,-93.1643,-93.7964
20230209T050837154,Mg,Na,0.7536231884057972,0.006965542670469751,108.19303305695972,0.9242739312738706,-46.5649,-48.9128,-48.4964,-46.1629,-94.8016,-94.2391,-93.1693,-93.7683
